captain_id,city,vehicle_type,signup_month,captain_type,rides_week1,rides_week2,rides_week3,rides_week4,ride_decay_rate,night_rides_ratio,peak_hour_ratio,cancellation_rate,avg_ride_duration,avg_fare_per_km,petrol_cost_sensitivity,estimated_daily_earnings,zone_switches,incentive_claimed,streak_completed,app_opens_per_day,support_tickets,payment_method_pref,is_churned,is_bike,is_parttime,is_bengaluru,churn_probability,risk_segment,rides_decay_x_parttime,low_earnings_x_bike,cancellation_x_zone,week4_x_incentive
CAP00000,Hyderabad,bike,6,parttime,24,13,8,5,0.76,0.514,0.214,0.22,17.1,14.01,0.674,73.0,7,0,1,3,1,gpay,1,1,1,0,0.8981533719514074,High Risk,0.76,73.0,1.54,0
CAP00001,Delhi,bike,2,parttime,25,22,11,6,0.731,0.789,0.307,0.22,15.6,11.05,0.176,69.0,4,1,0,7,1,amazon_pay,1,1,1,0,0.8090102863915603,High Risk,0.731,69.0,0.88,6
CAP00002,Chennai,bike,4,parttime,33,24,20,9,0.706,0.895,0.566,0.22,21.0,9.42,0.052,88.0,4,0,1,7,1,cash,1,1,1,0,0.7467090257059338,High Risk,0.706,88.0,0.88,0
CAP00003,Hyderabad,bike,7,parttime,26,22,13,6,0.741,0.679,0.612,0.08,16.3,10.2,0.819,75.0,5,0,0,4,0,gpay,1,1,1,0,0.662680542274139,High Risk,0.741,75.0,0.4,0
CAP00004,Bengaluru,bike,11,parttime,34,23,15,6,0.8,0.577,0.261,0.22,14.4,10.41,0.332,65.0,2,0,0,8,1,paytm,0,1,1,1,0.7716484822271396,High Risk,0.8,65.0,0.44,0
CAP00005,Bengaluru,auto,6,parttime,36,30,17,14,0.595,0.541,0.204,0.14,29.1,17.55,0.099,282.0,2,0,0,11,2,qr_scan,0,0,1,1,0.48688330080531383,Medium Risk,0.595,0.0,0.28,0
CAP00006,Bengaluru,bike,9,fulltime,84,59,34,12,0.847,0.263,0.365,0.181,16.2,12.36,0.098,162.0,2,1,1,10,1,paytm,1,1,0,1,0.23743329304713495,Low Risk,0.0,162.0,0.362,12
CAP00007,Pune,bike,11,parttime,23,18,16,15,0.333,0.28,0.29,0.126,15.6,12.71,0.427,222.0,6,1,0,5,0,amazon_pay,1,1,1,0,0.3093842966260923,Low Risk,0.333,222.0,0.756,15
CAP00008,Chennai,auto,7,parttime,31,25,21,19,0.375,0.68,0.314,0.137,25.0,17.61,0.503,385.0,3,1,1,7,2,amazon_pay,0,0,1,0,0.25623733948469224,Low Risk,0.375,0.0,0.41100000000000003,19
CAP00009,Chennai,auto,1,fulltime,69,54,36,24,0.643,0.607,0.656,0.086,34.6,20.97,0.669,613.0,1,1,0,6,0,gpay,1,0,0,0,0.2182315168128296,Low Risk,0.0,0.0,0.086,24
CAP00010,Bengaluru,auto,6,fulltime,99,56,48,38,0.61,0.722,0.388,0.055,25.5,17.01,0.396,814.0,3,0,0,9,0,gpay,0,0,0,1,0.07633112206003277,Low Risk,0.0,0.0,0.165,0
CAP00011,Delhi,auto,11,parttime,26,18,14,8,0.667,0.397,0.785,0.08,19.7,19.29,0.192,189.0,1,0,0,6,0,gpay,0,0,1,0,0.5312982490535554,Medium Risk,0.667,0.0,0.08,0
CAP00012,Pune,auto,3,parttime,21,18,11,5,0.727,0.59,0.709,0.116,24.1,21.21,0.324,125.0,3,0,0,6,2,cash,0,0,1,0,0.6793294511320835,High Risk,0.727,0.0,0.34800000000000003,0
CAP00013,Bengaluru,bike,8,fulltime,58,53,24,19,0.661,0.388,0.34,0.086,14.6,10.58,0.855,245.0,2,1,0,7,2,gpay,0,1,0,1,0.28658546928931405,Low Risk,0.0,245.0,0.172,19
CAP00014,Bengaluru,bike,1,fulltime,88,71,64,39,0.551,0.453,0.376,0.22,15.2,11.25,0.666,456.0,3,1,0,4,0,gpay,1,1,0,1,0.17073493852503188,Low Risk,0.0,456.0,0.66,39
CAP00015,Bengaluru,bike,10,parttime,24,22,12,10,0.56,0.49,0.292,0.08,16.3,10.44,0.477,128.0,1,1,1,5,0,paytm,0,1,1,1,0.339168648896093,Low Risk,0.56,128.0,0.08,10
CAP00016,Bengaluru,bike,2,fulltime,88,58,47,40,0.539,0.193,0.327,0.22,20.9,9.94,0.296,414.0,0,0,0,8,0,gpay,1,1,0,1,0.10081437048482635,Low Risk,0.0,414.0,0.0,0
CAP00017,Hyderabad,bike,3,parttime,27,16,13,12,0.536,0.399,0.392,0.187,18.0,7.77,0.346,101.0,0,0,0,9,0,gpay,1,1,1,0,0.5205152389948935,Medium Risk,0.536,101.0,0.0,0
CAP00018,Hyderabad,bike,3,parttime,23,15,11,8,0.625,0.612,0.051,0.22,21.3,10.15,0.413,84.0,5,0,0,7,2,qr_scan,1,1,1,0,0.8615909279379368,High Risk,0.625,84.0,1.1,0
CAP00019,Bengaluru,bike,7,parttime,32,26,20,12,0.606,0.891,0.553,0.22,16.4,13.02,0.851,162.0,2,1,0,6,3,amazon_pay,1,1,1,1,0.6295171478833291,Medium Risk,0.606,162.0,0.44,12
CAP00020,Chennai,bike,8,parttime,28,19,9,6,0.759,0.591,0.464,0.22,14.8,10.27,0.168,64.0,4,1,0,8,1,amazon_pay,1,1,1,0,0.8180719158805106,High Risk,0.759,64.0,0.88,6
CAP00021,Bengaluru,bike,9,fulltime,86,69,50,28,0.667,0.683,0.608,0.22,15.0,11.53,0.405,336.0,0,1,0,5,0,amazon_pay,0,1,0,1,0.14536246056640184,Low Risk,0.0,336.0,0.0,28
CAP00022,Bengaluru,auto,7,fulltime,101,83,49,36,0.637,0.638,0.269,0.078,31.0,16.77,0.421,742.0,0,0,0,10,1,amazon_pay,0,0,0,1,0.12901458171489957,Low Risk,0.0,0.0,0.0,0
CAP00023,Hyderabad,bike,8,fulltime,75,59,43,17,0.763,0.513,0.227,0.194,21.6,8.83,0.71,161.0,0,0,0,3,0,qr_scan,0,1,0,0,0.38541746668294335,Medium Risk,0.0,161.0,0.0,0
CAP00024,Hyderabad,auto,11,fulltime,74,63,47,44,0.4,0.41,0.161,0.097,21.6,15.77,0.56,835.0,1,1,1,7,0,gpay,1,0,0,0,0.05830067194417125,Low Risk,0.0,0.0,0.097,44
CAP00025,Pune,bike,6,fulltime,83,53,25,9,0.881,0.331,0.62,0.22,17.4,9.23,0.342,86.0,1,0,0,6,1,qr_scan,1,1,0,0,0.5085420451319875,Medium Risk,0.0,86.0,0.22,0
CAP00026,Bengaluru,auto,2,parttime,29,17,11,7,0.733,0.807,0.355,0.04,27.6,17.32,0.326,155.0,2,0,0,5,1,gpay,0,0,1,1,0.5852309236123006,Medium Risk,0.733,0.0,0.08,0
CAP00027,Hyderabad,auto,1,fulltime,76,43,37,19,0.74,0.442,0.535,0.081,26.2,18.68,0.488,435.0,2,0,1,8,0,gpay,0,0,0,0,0.19526243436378637,Low Risk,0.0,0.0,0.162,0
CAP00028,Hyderabad,bike,3,parttime,33,31,15,12,0.618,0.435,0.491,0.22,19.1,8.33,0.476,104.0,1,0,0,7,1,qr_scan,1,1,1,0,0.6511404877881818,High Risk,0.618,104.0,0.22,0
CAP00029,Bengaluru,bike,9,fulltime,98,82,67,48,0.505,0.724,0.542,0.193,12.9,12.17,0.553,629.0,4,0,0,3,1,gpay,0,1,0,1,0.14197453884781233,Low Risk,0.0,629.0,0.772,0
CAP00030,Chennai,bike,7,parttime,29,18,13,9,0.667,0.899,0.233,0.22,14.6,11.94,0.38,112.0,0,1,0,3,3,qr_scan,1,1,1,0,0.6311709108857746,Medium Risk,0.667,112.0,0.0,9
CAP00031,Bengaluru,auto,2,parttime,26,19,14,11,0.556,0.739,0.666,0.04,19.1,13.28,0.171,187.0,3,1,1,2,2,amazon_pay,0,0,1,1,0.2664086319196389,Low Risk,0.556,0.0,0.12,11
CAP00032,Bengaluru,auto,1,fulltime,76,43,19,7,0.896,0.101,0.716,0.04,24.7,23.21,0.252,208.0,1,0,1,8,2,gpay,1,0,0,1,0.2352875312057345,Low Risk,0.0,0.0,0.04,0
CAP00033,Delhi,auto,2,parttime,28,22,19,10,0.621,0.494,0.533,0.065,15.4,20.35,0.6,254.0,3,0,1,9,0,paytm,0,0,1,0,0.34404218838037104,Low Risk,0.621,0.0,0.195,0
CAP00034,Delhi,bike,3,parttime,24,22,19,12,0.48,0.694,0.231,0.22,21.3,9.18,0.418,115.0,3,1,0,8,2,gpay,0,1,1,0,0.6394628397147216,Medium Risk,0.48,115.0,0.66,12
CAP00035,Pune,bike,6,parttime,32,26,19,10,0.667,0.181,0.152,0.22,16.8,9.42,0.354,98.0,4,0,0,2,0,paytm,1,1,1,0,0.787963506581328,High Risk,0.667,98.0,0.88,0
CAP00036,Bengaluru,auto,12,parttime,32,25,23,9,0.697,0.727,0.268,0.14,32.1,18.64,0.394,192.0,2,1,0,5,0,paytm,0,0,1,1,0.5510284015038662,Medium Risk,0.697,0.0,0.28,9
CAP00037,Bengaluru,bike,9,fulltime,77,70,42,22,0.705,0.36,0.424,0.181,12.9,13.05,0.375,314.0,2,0,0,8,1,amazon_pay,0,1,0,1,0.2718407628418008,Low Risk,0.0,314.0,0.362,0
CAP00038,Chennai,bike,8,parttime,31,23,12,7,0.75,0.449,0.354,0.201,16.9,11.76,0.274,88.0,1,0,1,9,2,qr_scan,0,1,1,0,0.6596771940468575,High Risk,0.75,88.0,0.201,0
CAP00039,Hyderabad,bike,10,parttime,22,18,9,3,0.826,0.668,0.336,0.22,11.6,9.83,0.174,31.0,3,1,0,3,1,cash,1,1,1,0,0.8407239265847142,High Risk,0.826,31.0,0.66,3
CAP00040,Bengaluru,auto,9,fulltime,76,70,37,27,0.636,0.123,0.447,0.14,30.5,26.0,0.272,805.0,4,0,0,9,0,qr_scan,0,0,0,1,0.15829173084666157,Low Risk,0.0,0.0,0.56,0
CAP00041,Hyderabad,bike,11,parttime,40,32,14,5,0.854,0.326,0.283,0.22,17.4,7.11,0.449,37.0,0,1,0,6,1,gpay,0,1,1,0,0.7654717570769433,High Risk,0.854,37.0,0.0,5
CAP00042,Bengaluru,bike,11,parttime,24,18,14,12,0.48,0.686,0.071,0.22,26.6,7.0,0.57,87.0,0,1,0,5,0,gpay,0,1,1,1,0.4527899087579384,Medium Risk,0.48,87.0,0.0,12
CAP00043,Delhi,bike,8,parttime,29,22,18,10,0.633,0.197,0.321,0.22,13.0,9.61,0.162,100.0,3,0,0,3,0,gpay,0,1,1,0,0.7027310588859734,High Risk,0.633,100.0,0.66,0
CAP00044,Bengaluru,auto,7,parttime,35,30,13,7,0.778,0.716,0.24,0.04,19.0,22.12,0.416,198.0,1,0,0,8,0,paytm,1,0,1,1,0.5387131035844933,Medium Risk,0.778,0.0,0.04,0
CAP00045,Chennai,bike,6,parttime,31,17,9,4,0.844,0.426,0.283,0.132,26.9,10.32,0.088,48.0,4,1,0,5,1,qr_scan,0,1,1,0,0.7736302194364193,High Risk,0.844,48.0,0.528,4
CAP00046,Bengaluru,bike,8,fulltime,83,56,31,19,0.762,0.413,0.554,0.22,12.5,11.87,0.269,235.0,2,1,0,5,1,amazon_pay,0,1,0,1,0.2983331860849356,Low Risk,0.0,235.0,0.44,19
CAP00047,Hyderabad,bike,6,parttime,26,14,10,8,0.667,0.25,0.107,0.22,16.9,7.27,0.385,60.0,6,0,1,4,1,cash,0,1,1,0,0.8478614957073788,High Risk,0.667,60.0,1.32,0
CAP00048,Hyderabad,auto,2,parttime,29,25,21,14,0.5,0.751,0.689,0.14,20.8,24.09,0.587,387.0,4,0,0,6,0,cash,0,0,1,0,0.4114131884622962,Medium Risk,0.5,0.0,0.56,0
CAP00049,Bengaluru,auto,9,parttime,21,19,15,12,0.409,0.709,0.316,0.064,22.6,18.1,0.061,271.0,3,1,0,6,2,paytm,1,0,1,1,0.24078271607512147,Low Risk,0.409,0.0,0.192,12
CAP00050,Delhi,auto,9,parttime,31,22,18,16,0.469,0.437,0.183,0.136,27.2,18.63,0.297,343.0,2,0,0,4,3,paytm,0,0,1,0,0.4668921725707863,Medium Risk,0.469,0.0,0.272,0
CAP00051,Chennai,bike,3,fulltime,77,50,40,29,0.615,0.647,0.116,0.08,17.7,13.61,0.833,484.0,1,0,1,6,0,paytm,0,1,0,0,0.19399304021675057,Low Risk,0.0,484.0,0.08,0
CAP00052,Delhi,auto,9,fulltime,64,36,29,13,0.785,0.046,0.088,0.14,33.0,16.74,0.544,250.0,1,0,0,6,0,gpay,0,0,0,0,0.44128772247642545,Medium Risk,0.0,0.0,0.14,0
CAP00053,Pune,bike,2,parttime,31,17,12,6,0.781,0.566,0.263,0.22,16.2,10.43,0.195,65.0,6,0,0,4,1,paytm,1,1,1,0,0.9055560724347498,High Risk,0.781,65.0,1.32,0
CAP00054,Hyderabad,bike,12,parttime,32,24,17,12,0.606,0.41,0.716,0.22,20.3,10.93,0.522,136.0,5,1,0,6,1,qr_scan,0,1,1,0,0.7595612545584809,High Risk,0.606,136.0,1.1,12
CAP00055,Delhi,bike,3,fulltime,73,49,42,34,0.527,0.377,0.804,0.22,22.2,9.99,0.164,353.0,0,1,1,6,1,gpay,0,1,0,0,0.10427133075554662,Low Risk,0.0,353.0,0.0,34
CAP00056,Bengaluru,bike,6,parttime,31,29,21,15,0.5,0.902,0.06,0.15,16.3,9.62,0.183,164.0,4,1,0,6,2,amazon_pay,0,1,1,1,0.4441818634709155,Medium Risk,0.5,164.0,0.6,15
CAP00057,Bengaluru,auto,4,fulltime,77,67,35,24,0.679,0.549,0.228,0.14,31.0,22.42,0.854,617.0,2,1,0,5,3,gpay,1,0,0,1,0.2552227520304818,Low Risk,0.0,0.0,0.28,24
