captain_id,city,vehicle_type,signup_month,captain_type,rides_week1,rides_week2,rides_week3,rides_week4,ride_decay_rate,night_rides_ratio,peak_hour_ratio,cancellation_rate,avg_ride_duration,avg_fare_per_km,petrol_cost_sensitivity,estimated_daily_earnings,zone_switches,incentive_claimed,streak_completed,app_opens_per_day,support_tickets,payment_method_pref,is_churned
CAP00000,Hyderabad,bike,6,parttime,24,13,8,5,0.76,0.514,0.214,0.22,17.1,14.01,0.674,73.0,7,0,1,3,1,gpay,1
CAP00001,Delhi,bike,2,parttime,25,22,11,6,0.731,0.789,0.307,0.22,15.6,11.05,0.176,69.0,4,1,0,7,1,amazon_pay,1
CAP00002,Chennai,bike,4,parttime,33,24,20,9,0.706,0.895,0.566,0.22,21.0,9.42,0.052,88.0,4,0,1,7,1,cash,1
CAP00003,Hyderabad,bike,7,parttime,26,22,13,6,0.741,0.679,0.612,0.08,16.3,10.2,0.819,75.0,5,0,0,4,0,gpay,1
CAP00004,Bengaluru,bike,11,parttime,34,23,15,6,0.8,0.577,0.261,0.22,14.4,10.41,0.332,65.0,2,0,0,8,1,paytm,0
CAP00005,Bengaluru,auto,6,parttime,36,30,17,14,0.595,0.541,0.204,0.14,29.1,17.55,0.099,282.0,2,0,0,11,2,qr_scan,0
CAP00006,Bengaluru,bike,9,fulltime,84,59,34,12,0.847,0.263,0.365,0.181,16.2,12.36,0.098,162.0,2,1,1,10,1,paytm,1
CAP00007,Pune,bike,11,parttime,23,18,16,15,0.333,0.28,0.29,0.126,15.6,12.71,0.427,222.0,6,1,0,5,0,amazon_pay,1
CAP00008,Chennai,auto,7,parttime,31,25,21,19,0.375,0.68,0.314,0.137,25.0,17.61,0.503,385.0,3,1,1,7,2,amazon_pay,0
CAP00009,Chennai,auto,1,fulltime,69,54,36,24,0.643,0.607,0.656,0.086,34.6,20.97,0.669,613.0,1,1,0,6,0,gpay,1
CAP00010,Bengaluru,auto,6,fulltime,99,56,48,38,0.61,0.722,0.388,0.055,25.5,17.01,0.396,814.0,3,0,0,9,0,gpay,0
CAP00011,Delhi,auto,11,parttime,26,18,14,8,0.667,0.397,0.785,0.08,19.7,19.29,0.192,189.0,1,0,0,6,0,gpay,0
CAP00012,Pune,auto,3,parttime,21,18,11,5,0.727,0.59,0.709,0.116,24.1,21.21,0.324,125.0,3,0,0,6,2,cash,0
CAP00013,Bengaluru,bike,8,fulltime,58,53,24,19,0.661,0.388,0.34,0.086,14.6,10.58,0.855,245.0,2,1,0,7,2,gpay,0
CAP00014,Bengaluru,bike,1,fulltime,88,71,64,39,0.551,0.453,0.376,0.22,15.2,11.25,0.666,456.0,3,1,0,4,0,gpay,1
